	11635.FS.CIR2.001	11635.CIR61.001	11635.TW.BV.001	11635.TW.AM.001	11635.TW.CN.002	11635.TW.AF.001	11635.TW.BL.002	11635.TW.AU.001	11635.CIR52.001	11635.TW.CT.001	11635.CIR23.001	11635.TW.BN.001	11635.TW.CG.001	11635.CIR57.001	11635.TW.BZ.002	11635.TW.CS.002	11635.TW.EH.002	11635.CIR26.001	11635.TW.BK.001	11635.TW.DA.002	11635.TW.CQ.001	11635.TW.DY.002	11635.TW.CZ.001	11635.CIR5.001	11635.TW.DH.001	11635.TW.AI.001	11635.CIR4.001	11635.TW.DZ.001	11635.TW.DB.001	11635.TW.AQ.001	11635.TW.DQ.001	11635.TW.CP.001	11635.TW.CC.001	11635.TW.DS.002	11635.TW.AT.001	11635.CIR53.001	11635.TW.BM.002	11635.TW.DG.001	11635.TW.CF.001	11635.TW.AE.002	11635.CIR22.001	11635.TW.BO.001	11635.CIR60.001	11635.TW.BU.002	11635.TW.EE.001	11635.CIR58.001	11635.CIR41.001	11635.TW.AG.002	11635.TW.CW.001	11635.CIR20.001	11635.TW.AV.001	11635.CIR51.001	11635.CIR18.001	11635.TW.CU.002	11635.TW.AN.001	11635.TW.BD.002	11635.TW.CO.001	11635.CIR32.001	11635.TW.BA.002	11635.TW.AK.001	11635.CIR16.001	11635.TW.AX.001	11635.CIR6.001	11635.TW.DX.001	11635.TW.DI.002	11635.TW.AZ.002	11635.TW.CA.001	11635.TW.BJ.002	11635.CIR54.001	11635.TW.AP.002	11635.TW.DP.002	11635.TW.BI.001	11635.TW.CB.002	11635.TW.AR.001	11635.CIR55.001	11635.TW.DR.001	11635.TW.AY.001	11635.CIR7.001	11635.TW.BS.002	11635.TW.DJ.001	11635.TW.CK.001	11635.TW.BQ.001	11635.TW.AO.001	11635.CIR42.001	11635.TW.BE.002	11635.TW.DM.002	11635.TW.BG.001	11635.TW.BT.001	11635.TW.CV.001	11635.CIR21.001	11635.TW.DU.002	11635.TW.CE.001	11635.CIR19.001	11635.TW.AW.001
11635.FS.CIR2.001	0.0	0.675277497055	0.728870333086	0.611993958166	0.607328142113	0.693970103257	0.673630416361	0.798830121903	0.683867999436	0.743014128309	0.606130183823	0.656656069882	0.74643437565	0.533306246227	0.813618715234	0.595107361078	0.582932333166	0.517588998604	0.790806640883	0.667371117544	0.708787266158	0.702384340438	0.767527681632	0.629987418867	0.62427623499	0.741536049752	0.672456557858	0.615942836016	0.741079201125	0.690822215342	0.703230570097	0.689633277863	0.72423765219	0.632909760785	0.806685081322	0.5427130219	0.787029284306	0.810673235028	0.664390340196	0.593135964184	0.748141224944	0.703815466422	0.772314619079	0.683525990579	0.714328374271	0.51151359157	0.722662947331	0.675203438742	0.646391715822	0.496550696386	0.755029887939	0.69695844827	0.729186310931	0.668750320788	0.782006903844	0.506238298042	0.778266936258	0.630743737905	0.724013959562	0.616803039048	0.694306854077	0.719752974696	0.642664130957	0.738736346975	0.611500291052	0.730557618258	0.754872574424	0.634059825216	0.640634891234	0.787734704289	0.647188720326	0.837986791708	0.691904764209	0.750190741152	0.6084105507	0.671223021484	0.704354973469	0.666972350165	0.717988137082	0.709611431263	0.733029404213	0.805770602565	0.590815017207	0.61737894183	0.68384971389	0.617073880822	0.738552539303	0.651822704938	0.636179274934	0.754258860651	0.778448358063	0.567438887013	0.65278938075	0.587881938621
11635.CIR61.001	0.675277497055	0.0	0.871959398765	0.741883924012	0.768269634231	0.853911674945	0.846976442582	0.909848533895	0.81298086295	0.857505724093	0.749092017485	0.834540971957	0.897243971058	0.723403854677	0.921286811784	0.795912583394	0.747674462695	0.743997204765	0.915787441796	0.851519982402	0.853814080178	0.85698919381	0.902413217676	0.82438385003	0.77116908847	0.899770835523	0.850484318779	0.82168528238	0.905018885262	0.857980086247	0.863721030279	0.839214781247	0.873114015307	0.830834615289	0.908787053388	0.688414991586	0.914366459216	0.920145729873	0.851380807982	0.809274880466	0.88996251973	0.869740430043	0.892591461406	0.84458372262	0.871039431192	0.752975304225	0.858293597997	0.839780564872	0.843575840572	0.727263073348	0.846884621317	0.848311037264	0.860342064623	0.834892085854	0.907032800226	0.765275924098	0.89631376296	0.811246990475	0.870237403526	0.822443255249	0.874171571733	0.860869614621	0.822680300849	0.867547779305	0.823715261289	0.870890603178	0.866172420981	0.839526225682	0.818829110104	0.903570744042	0.846421222111	0.935037552151	0.886060328335	0.886787860686	0.782185642995	0.838716364452	0.858869147766	0.830520180935	0.874990328311	0.859224997673	0.877953480178	0.914350176333	0.783537639548	0.537294975722	0.658746892733	0.822872456237	0.875127881318	0.832391985292	0.820706477452	0.89235339084	0.911130516295	0.783192053631	0.8614373989	0.801667330947
11635.TW.BV.001	0.728870333086	0.871959398765	0.0	0.756206358076	0.70823749163	0.523685433835	0.546578228109	0.578818338951	0.689184426201	0.675488906063	0.699914680019	0.600324130894	0.6434445381	0.709974206702	0.631019149508	0.66965140768	0.738693805532	0.693396498532	0.58236004635	0.559154485604	0.596342262035	0.583088831549	0.576051864618	0.531821800487	0.699231175339	0.549168992516	0.55135510118	0.600651746987	0.594184450965	0.551517304673	0.566197155232	0.681096629695	0.558593616248	0.640017048509	0.606141823836	0.725349678	0.551869494421	0.604508316275	0.578989188647	0.600808424821	0.569184407561	0.492182360085	0.59950394311	0.636630469438	0.608629725019	0.634250645607	0.63384270364	0.573132090065	0.572036434086	0.702147909614	0.632559370585	0.547221956225	0.589038198745	0.629534121817	0.592983129246	0.624725936106	0.592451522923	0.617482223367	0.562620435897	0.613826059731	0.563035986011	0.494871672759	0.628143585679	0.580652107584	0.608815474837	0.492156444942	0.551648142657	0.605765442269	0.603441462825	0.585335504791	0.588563709398	0.633745054484	0.577803866692	0.547952109314	0.565555167905	0.63334007887	0.506321183039	0.621218950688	0.581720675322	0.596489204555	0.59040640282	0.656972006292	0.640304975144	0.82009291411	0.847262363378	0.624548186719	0.528283744916	0.636761624323	0.637807661426	0.593376726646	0.598459352095	0.565481312691	0.562946386813	0.589545760266
11635.TW.AM.001	0.611993958166	0.741883924012	0.756206358076	0.0	0.647366788005	0.702073074782	0.687281313999	0.811041330661	0.697630941922	0.718557022806	0.621315555661	0.702261071637	0.750171917058	0.60775779056	0.818690532265	0.661670597055	0.614267559466	0.613219413601	0.811227985822	0.722388539297	0.709100298456	0.715977540769	0.772992316683	0.604264659716	0.587291498351	0.770032136419	0.70776319569	0.635012576092	0.771571543164	0.722373893529	0.716800902935	0.743094562221	0.747372731678	0.640336434095	0.792248462324	0.672865438784	0.800893743023	0.826664953306	0.677838408931	0.659881981206	0.776835119658	0.711791046736	0.785476261987	0.693124491589	0.679611224287	0.625049828522	0.739605969056	0.702780150351	0.693010827767	0.595137068211	0.738631538123	0.742442698691	0.71870685364	0.709084630367	0.766858229412	0.641119923257	0.779847489923	0.626913023901	0.779391582587	0.670802601322	0.696396437086	0.725201240408	0.650584403944	0.721524555496	0.630745177529	0.760695846222	0.762831604645	0.663320647022	0.668022082389	0.790986198929	0.663391654717	0.85087110408	0.704994091881	0.760624663066	0.688795947251	0.656473953355	0.739016172627	0.677260491812	0.754030078313	0.721332610334	0.741786655303	0.785413636186	0.625789989092	0.71136619569	0.762100472541	0.655851741688	0.763430100354	0.674597097615	0.667430240569	0.788401414876	0.787741302425	0.646204637475	0.681635413306	0.631161709629
11635.TW.CN.002	0.607328142113	0.768269634231	0.70823749163	0.647366788005	0.0	0.691208137422	0.601738052072	0.794695389809	0.666286473515	0.660218473957	0.637749248873	0.697911602972	0.729357418013	0.519361409553	0.815457144348	0.618621027665	0.486925930599	0.585472261557	0.757731088773	0.700839320921	0.690575791682	0.666379801783	0.715889591985	0.621077486575	0.541106977171	0.736426831107	0.672505881725	0.58302599946	0.770824450219	0.680220375618	0.733196673134	0.664543841876	0.695911411965	0.56092763624	0.796791378038	0.621891227073	0.766663659723	0.809561691449	0.627977762817	0.616534412132	0.724524265288	0.70814203846	0.801465343202	0.72125865174	0.630600674756	0.497601986371	0.656629473268	0.691025250791	0.619330900203	0.55345522428	0.643438063104	0.684875080207	0.740009522655	0.660908753214	0.786670476809	0.543597232069	0.749285211477	0.657955049323	0.715497674829	0.582001241238	0.694502131489	0.695741568614	0.572271791662	0.731855047301	0.579894322037	0.70171472217	0.728418255508	0.635553172999	0.68611816121	0.777773963335	0.628595915929	0.819747002565	0.694912354704	0.715338350616	0.622339812084	0.564289312514	0.750274338364	0.659450466854	0.699576289829	0.662551162655	0.686563563812	0.81410565309	0.521509493792	0.70338616954	0.701235831288	0.542493518241	0.719064794797	0.57856802974	0.634555835673	0.774173553973	0.763101134067	0.529383735845	0.629571617311	0.647672493272
11635.TW.AF.001	0.693970103257	0.853911674945	0.523685433835	0.702073074782	0.691208137422	0.0	0.52741237101	0.653738630067	0.677625243204	0.617172090614	0.672736141542	0.576309880072	0.596215964558	0.661261106744	0.653563057857	0.617272625363	0.671848796165	0.63810893837	0.589646884513	0.570228333591	0.607469053463	0.536302129624	0.609739533897	0.610161501087	0.67381134992	0.529132326778	0.468398634019	0.514971685362	0.591984559613	0.518016690443	0.545625514427	0.634858711615	0.540235462928	0.585709006184	0.639715825347	0.679447982518	0.572789737667	0.643324639304	0.492035803249	0.584928654225	0.55437489736	0.562940556459	0.600284986273	0.637863953774	0.531549685608	0.602374452662	0.557643321345	0.520809933341	0.569774727777	0.655247344182	0.634104595009	0.553032695365	0.504784825077	0.611202575539	0.641647668057	0.563753818635	0.584053022355	0.593734583998	0.568250407432	0.551622865222	0.535481195482	0.487796394109	0.580213437421	0.558052987393	0.558775409287	0.534605860238	0.541152647358	0.575800777139	0.606370284514	0.586839724307	0.504229424451	0.673760482109	0.577549049338	0.577840403915	0.545302204399	0.606196884803	0.542672061618	0.58322155798	0.601552108319	0.609038464448	0.511790856675	0.666238906411	0.602905402581	0.799794688687	0.834696868281	0.557608419771	0.541922278379	0.585747428092	0.569528225221	0.577598843159	0.588104351054	0.563754704951	0.481199757451	0.57583020084
11635.TW.BL.002	0.673630416361	0.846976442582	0.546578228109	0.687281313999	0.601738052072	0.52741237101	0.0	0.646829450294	0.676823465457	0.576752421146	0.652584988116	0.581513638004	0.579226859143	0.62285626188	0.666364524111	0.559120203062	0.622461919199	0.634328791701	0.633417736002	0.53563633934	0.593950634914	0.57219961829	0.617509131573	0.574983396043	0.639933612637	0.556068443216	0.516169772785	0.504204059312	0.618330759839	0.555002317249	0.558402104646	0.597712091719	0.585465624457	0.518979851098	0.655075331994	0.687584184256	0.600771365296	0.645943966638	0.512826674228	0.528345552686	0.59914313733	0.564862334587	0.644830581278	0.68183202989	0.527116975817	0.566000937426	0.581197811408	0.550647744497	0.556832680342	0.623073201798	0.616280914593	0.551804122232	0.588746390956	0.561935370299	0.664388029283	0.403177422829	0.57542493792	0.633983174277	0.535865544385	0.49465501756	0.491218133615	0.519832213479	0.543741415882	0.62310308012	0.520037582157	0.532212182807	0.592304003993	0.54783627989	0.6096846216	0.619587681851	0.501165288079	0.701551538608	0.544319759404	0.623040924781	0.557925988885	0.543050954019	0.575482402403	0.601936737951	0.513391661224	0.564973183179	0.576942067567	0.668967257244	0.506002223326	0.802409369352	0.811780468618	0.528933662678	0.541563023468	0.501206839671	0.537467111026	0.598562540685	0.600957032149	0.499408021152	0.52987664219	0.54688905074
11635.TW.AU.001	0.798830121903	0.909848533895	0.578818338951	0.811041330661	0.794695389809	0.653738630067	0.646829450294	0.0	0.798178515757	0.73972384819	0.782939905293	0.678320131341	0.658963637085	0.781026481527	0.58802227932	0.740954868438	0.807995813603	0.783620106507	0.605711133722	0.61595551574	0.685103696791	0.663156302388	0.660423089071	0.70055386142	0.79928903116	0.634461063648	0.649894224334	0.699536248258	0.647287638145	0.619756943717	0.635307795161	0.741001574929	0.624778596778	0.738615588005	0.572809624889	0.787358006527	0.549974609072	0.570361177711	0.685446501964	0.6908618383	0.640996988031	0.605049224897	0.643856915914	0.665301826164	0.686510167793	0.731870109911	0.718277252458	0.629736854923	0.663889476076	0.793188704271	0.732745313751	0.638560952178	0.650826256358	0.745440766756	0.606254812447	0.733192029559	0.619205584161	0.735292362211	0.608519624211	0.711884192511	0.651756854683	0.586192256741	0.697195924215	0.698656484435	0.723974513204	0.563110686359	0.618361864364	0.684800115914	0.685545337602	0.607360446783	0.652614606615	0.603696592395	0.663121722391	0.643820401641	0.67382884542	0.714494043651	0.620472274326	0.726190584361	0.647401799105	0.654321802632	0.679234347618	0.604870986029	0.730609003911	0.87835862816	0.890465657822	0.715508469333	0.614410204417	0.713936242789	0.682776279529	0.650847283212	0.642631361261	0.671859307806	0.693214908035	0.683807357474
11635.CIR52.001	0.683867999436	0.81298086295	0.689184426201	0.697630941922	0.666286473515	0.677625243204	0.676823465457	0.798178515757	0.0	0.720322799733	0.553196183724	0.678171851652	0.733135854154	0.641950048963	0.797542159986	0.674439422641	0.686140716595	0.696329289517	0.764115904963	0.677158256669	0.696790376664	0.695061617271	0.721668038253	0.629655016661	0.652674928176	0.727915703813	0.669448289788	0.657909718408	0.699025087761	0.671972323616	0.71171424678	0.722431538608	0.735544515561	0.682339917039	0.790155804025	0.639693446961	0.765521690572	0.7972702172	0.665463979565	0.615200058998	0.716577994965	0.680506649143	0.759271359023	0.710626984222	0.692648897888	0.599406579776	0.694812385615	0.712604212387	0.629988801487	0.610142882962	0.718764606574	0.662863703568	0.73551581128	0.635351513452	0.769542430568	0.647694691824	0.727256003111	0.603421418016	0.702482136287	0.637337495171	0.713356896389	0.697701874756	0.660156454768	0.642088925705	0.608667028157	0.717933389395	0.725730988633	0.678473034169	0.671516219714	0.779677851056	0.687603176759	0.803801710725	0.66726511489	0.731707011264	0.612455498752	0.685653135031	0.701751011732	0.675985902189	0.690911987901	0.719621630848	0.707242978599	0.799997202172	0.687498357779	0.746059159526	0.744802504097	0.676056097705	0.706185542119	0.661062316436	0.688541173194	0.741637905289	0.716802153733	0.637222582487	0.646443070788	0.636626274903
11635.TW.CT.001	0.743014128309	0.857505724093	0.675488906063	0.718557022806	0.660218473957	0.617172090614	0.576752421146	0.73972384819	0.720322799733	0.0	0.710278549716	0.727869256942	0.660358537724	0.658588251298	0.726590214032	0.640209388662	0.644856814691	0.718976753045	0.725419656287	0.669904922627	0.669429693429	0.676614842008	0.737142594683	0.693546106621	0.663870303802	0.67216541125	0.582030073574	0.574935995956	0.676113490994	0.669861882235	0.716751944896	0.578309714393	0.598867786584	0.606879091376	0.724468294589	0.725180667776	0.679328781699	0.738728936585	0.620340419672	0.671868397267	0.679001230084	0.679183377841	0.712043511515	0.74965359992	0.607174405517	0.633517657922	0.624346711499	0.68594708994	0.680227118314	0.69132512313	0.672623356313	0.695550719656	0.645852884478	0.614749752682	0.740192828823	0.588810256813	0.646715538333	0.701576983053	0.676482457052	0.599933182298	0.60077953915	0.588903128179	0.580798067513	0.717380372301	0.655443570041	0.67131923179	0.676819273258	0.673547627157	0.724890759104	0.681778300732	0.60068624839	0.764745755627	0.714172448439	0.707236467634	0.648179554274	0.624888501399	0.690547964934	0.665084259529	0.680757397085	0.619470386083	0.631155283184	0.741755779183	0.548339420712	0.81019728571	0.831659429768	0.561297322993	0.67188419896	0.59229484934	0.546275051333	0.676842170894	0.664510758661	0.615916549608	0.639240192992	0.660886988619
