,G1P,G1R,G2P,G2R,G3P,G3R
k__Archaea;p__Euryarchaeota;c__Methanobacteria,0.0008124907242738449,7.162451563921253e-05,,,2.1017123701535837e-05,1.6712905705785942e-05
k__Archaea;p__Euryarchaeota;c__Thermoplasmata,,3.223103203764564e-05,,,,
k__Bacteria;p__Actinobacteria;c__Actinobacteria,0.006869697114525927,0.0022955657262367602,0.027572013457594777,0.008381861410702626,0.008690580650585072,0.0010027743423471555
k__Bacteria;p__Actinobacteria;c__Coriobacteriia,0.00712627313271767,0.01563921298982209,0.014800434963473325,0.008829812894111192,0.013319602145848338,0.021756025002506865
k__Bacteria;p__Actinobacteria;c__OPB41,3.521631622239576e-05,1.790612890980313e-05,,8.61445160401092e-06,,2.5069358558678913e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia,0.22959025816075096,0.17917946954883582,0.13391912306693052,0.2742841390717074,0.16378644500606868,0.2059280676538413
k__Bacteria;p__Bacteroidetes;c__Cytophagia,5.030902317485109e-06,,,,,
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia,,1.0743677345881881e-05,,,1.5762842776151877e-05,
k__Bacteria;p__Bacteroidetes;c__[Saprospirae],,7.1624515639212536e-06,,,,8.356452852892971e-06
k__Bacteria;p__Cyanobacteria;c__4C0d-2,0.0007646971522577365,0.005336026415121334,,0.0013438544502257035,,0.0031838085369522225
k__Bacteria;p__Cyanobacteria;c__Chloroplast,8.804079055598941e-05,0.00013966780549646443,4.378826912270212e-05,0.03845491196030474,2.1017123701535837e-05,2.089113213223243e-05
k__Bacteria;p__Firmicutes;c__Bacilli,0.19062088880951047,0.13858269408453025,0.3910292432657296,0.06294579787050776,0.06451731548278958,0.0434535548350434
k__Bacteria;p__Firmicutes;c__Clostridia,0.37623099891081524,0.5352500053718419,0.27148726856075145,0.41009096860893635,0.4346919152379406,0.6141867500083583
k__Bacteria;p__Firmicutes;c__Erysipelotrichi,0.023999919505562687,0.020738878503333984,0.03304554709793254,0.019658178560352926,0.012216203151517708,0.019056890731022437
k__Bacteria;p__Fusobacteria;c__Fusobacteriia,0.00010564894866718729,0.0016581075370477698,0.00039409442210431905,,1.0508561850767918e-05,4.1782264264464855e-06
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria],0.00024148331123928515,0.00023994212739136204,2.1894134561351063e-05,8.61445160401092e-05,,0.000146237924925627
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,0.0007470889941465382,0.0014933711510775813,3.649022426891843e-05,0.002868612384135636,2.1017123701535837e-05,9.19209813818227e-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,0.0028676143209665126,0.0020699485019732423,0.0008538712478926912,0.001834878191654326,0.0007093279249268344,0.004458167597018401
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,0.0019444437457079961,0.0025104392731544003,0.0015763776884172758,0.0024378898039350894,0.0009562791284198804,0.004336999030651453
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria,1.5092706952455324e-05,1.0743677345881881e-05,,,0.0003310196982991894,2.089113213223243e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,0.15548255157303595,0.08712047959775611,0.12510308488355995,0.15939319802901405,0.2996043526463185,0.07888909315773605
k__Bacteria;p__Synergistetes;c__Synergistia,5.2824474333593644e-05,0.0001325053539325432,,,0.00017339127053767067,0.00032172343483637946
k__Bacteria;p__TM7;c__TM7-3,,3.9393483601566894e-05,2.1894134561351063e-05,,,
k__Bacteria;p__Tenericutes;c__Mollicutes,0.0011772311422915153,0.006503506020040499,2.189413456135106e-05,0.007658247475965707,0.0008039049815837457,0.0026949560450579835
k__Bacteria;p__Tenericutes;c__RF3,0.00018362793458820645,0.0007055014790462434,,0.0016539747079700965,,0.00021308954774877078
k__Bacteria;p__Verrucomicrobia;c__Opitutae,1.0061804634970217e-05,7.162451563921253e-05,,,,6.267339639669729e-05
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae,0.0009005315148298342,7.1624515639212536e-06,7.298044853783686e-06,,,
k__Bacteria;p__[Thermi];c__Deinococci,0.00012828800909587033,0.00013608657971450383,6.568240368405317e-05,6.891561283208736e-05,0.00011033989943306315,0.0001211685663669481
