,G1P,G1R,G2P,G2R,G3P,G3R
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae,0.0008503647617267424,7.298897136642665e-05,0.0,0.0,2.183918714545448e-05,1.780523741058436e-05
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__[Methanomassiliicoccaceae],0.0,3.2845037114892e-05,0.0,0.0,0.0,0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae,0.00017375874388224463,0.0005401183881115571,0.0006071497959976686,0.0003231334149326807,0.0004149445557636349,0.00029378641727464207
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae,0.00015006436971648395,0.00010948345704963999,4.0476653066511246e-05,4.895960832313344e-05,8.189695179545429e-05,3.115916546852263e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae,2.63270824064007e-06,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae,0.0,7.298897136642666e-06,0.0,0.0,0.0,0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae,0.000795077888673301,3.649448568321333e-06,0.0,9.791921664626688e-06,0.0,0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae,0.0,0.0,0.0,1.9583843329253377e-05,0.0,0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Promicromonosporaceae,0.0,0.0,0.0,3.9167686658506753e-05,0.0,0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae,0.0001658606191603244,0.00019342077412103065,0.00012142995919953372,8.812729498164018e-05,2.183918714545448e-05,0.00011128273381615225
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,0.005054799822028934,2.9195588546570665e-05,0.0008581050450100383,0.0,0.0,0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae,0.007458462445733331,0.01604297590634061,0.01641733048377697,0.010036719706242354,0.01384058485343178,0.023177967799228205
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,0.20257900099253148,0.13676673454641008,0.09427822032251792,0.16447490820073443,0.12558078588314955,0.13396660627723672
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae,0.013776962223269483,0.011404526776004165,0.001967165339032446,0.016411260709914326,0.005388819428140892,0.013879182561550504
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae,0.008042923675155413,0.02602421774069942,0.05113010815361699,0.10053365973072217,0.02907341788738627,0.024459944892790263
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,0.009775245697496585,0.010043282460020312,0.0007042937633572956,0.010839657282741746,0.0025551848960181736,0.014097296719830175
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7,0.001595421193827882,0.0020692373382381955,0.00026714591023897425,0.00768665850673195,0.0007807509404499976,0.005915790129666653
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae],0.0014795820312397188,0.0007298897136642666,1.61906612266045e-05,0.0010575275397796825,0.0,0.00011128273381615225
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae],0.0,3.649448568321333e-06,0.0,9.791921664626688e-06,1.091959357272724e-05,0.0
