,G1P,G1R,G2P,G2R,G3P,G3R
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales,0.000813132978710006,6.787875496787602e-05,0.0,0.0,2.1039122247819824e-05,1.671555967872687e-05
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2,0.0,3.054543973554421e-05,0.0,0.0,0.0,0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales,0.001993812133555184,0.0021721201589720313,0.02679959421093739,0.008382655742506902,0.007868631720684619,0.0010029335807236112
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales,0.004833483960133782,2.715150198715041e-05,0.0007736266302721574,0.0,0.0,0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales,0.007131906280759911,0.014919750341939179,0.014801083077282418,0.008830649677358247,0.013333543724555814,0.021759479811782723
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales,0.22977174375486023,0.17723482315887248,0.13392498741032147,0.27431013241666957,0.16395787967725978,0.20596076858143297
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales,5.034879125139357e-06,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales,0.0,1.3575750993575205e-05,0.0,0.0,1.5779341685864867e-05,0.0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales],0.0,6.7878754967876025e-06,0.0,0.0,0.0,8.357779839363436e-06
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2,0.0007653016270211822,0.005056967245106764,0.0,0.0013439818045540358,0.0,0.0031843141187974694
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta,8.811038468993874e-05,0.00013575750993575204,4.379018661917872e-05,0.0384585562533924,2.1039122247819824e-05,2.0894449598408593e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales,0.1430031543517704,0.10033158771801749,0.3107789544363112,0.05027008865110767,0.04130505675303224,0.029678476209579568
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales,0.0,0.0,1.4596728873059573e-05,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,0.04668339924829208,0.029191258573935046,0.07792463708882853,0.010286629965625122,0.022627575977530234,0.01294620097117398
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales,0.0010673943745295436,0.0043408463801956725,0.002328178255253002,0.002377813961903294,0.0006522127896824145,0.0008315990940166619
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,0.3764755342636166,0.5303401065017691,0.2714772619455968,0.4101298320884252,0.435099567646038,0.6142633870738594
