,G1P,G1R,G2P,G2R,G3P,G3R
k__Archaea;p__Euryarchaeota,0.0008119168275418262,9.83981460432066e-05,0.0,0.0,2.1016461143190355e-05,1.6698672455539696e-05
k__Bacteria;p__Actinobacteria,0.014239965411840392,0.017134849569592908,0.042371829958036775,0.017218805450755516,0.02200948893220611,0.02277698922935617
k__Bacteria;p__Bacteroidetes,0.22944317084942104,0.17721166798429616,0.13391716839992682,0.2742605130325438,0.16379704403473969,0.20583201135509596
k__Bacteria;p__Cyanobacteria,0.0008521356177606163,0.0051913504636588335,4.378762999452651e-05,0.03979533826037542,2.1016461143190355e-05,0.0032019704433497377
k__Bacteria;p__Firmicutes,0.5909045205920208,0.6841453442408257,0.6955665024630546,0.4927386428239161,0.5114250736889685,0.676876513317193
k__Bacteria;p__Fusobacteria,0.00010557432432432417,0.0015709772971725744,0.0003940886699507386,0.0,1.0508230571595178e-05,4.174668113884924e-06
k__Bacteria;p__Lentisphaerae,0.00024131274131274088,0.00022733364775499464,2.189381499726326e-05,8.613709580167842e-05,0.0,0.00014611338398597235
k__Bacteria;p__Proteobacteria,0.16095057110682073,0.10716915319912682,0.12756796205072057,0.16652023360380466,0.3016282503270677,0.0877348250814055
k__Bacteria;p__Synergistetes,5.2787162162162084e-05,0.00013232854123051922,0.0,0.0,0.00017338580443132043,0.00032144944476913923
k__Bacteria;p__TM7,0.0,3.732343470604388e-05,2.189381499726326e-05,0.0,0.0,0.0
k__Bacteria;p__Tenericutes,0.001359897844272842,0.006874298064949538,2.1893814997263255e-05,0.009311420056161436,0.0008038796387270311,0.002905569007263907
k__Bacteria;p__Verrucomicrobia,0.0009099501287001271,7.464686941208776e-05,7.297938332421086e-06,0.0,0.0,6.262002170827387e-05
k__Bacteria;p__[Thermi],0.00012819739382239367,0.00013232854123051925,6.568144499178976e-05,6.890967664134273e-05,0.00011033642100174937,0.00012106537530266282
