,,unweighted_unifrac,weighted_unifrac,groups
11635.TW.BV.001,11635.TW.AM.001,0.756206358076,0.756206358076,G1P
11635.TW.BV.001,11635.TW.AF.001,0.523685433835,0.523685433835,G1P
11635.TW.BV.001,11635.TW.AU.001,0.578818338951,0.578818338951,G1P
11635.TW.BV.001,11635.TW.CT.001,0.675488906063,0.675488906063,G1P
11635.TW.BV.001,11635.TW.BN.001,0.600324130894,0.600324130894,G1P
11635.TW.BV.001,11635.TW.CG.001,0.6434445381,0.6434445381,G1P
11635.TW.BV.001,11635.TW.BZ.002,0.631019149508,0.631019149508,G1P
11635.TW.BV.001,11635.TW.CS.002,0.66965140768,0.66965140768,G1P
11635.TW.BV.001,11635.TW.EH.002,0.738693805532,0.738693805532,G1P
11635.TW.BV.001,11635.TW.BK.001,0.58236004635,0.58236004635,G1P
11635.TW.BV.001,11635.TW.DY.002,0.583088831549,0.583088831549,G1P
11635.TW.BV.001,11635.TW.CZ.001,0.576051864618,0.576051864618,G1P
11635.TW.BV.001,11635.TW.AI.001,0.549168992516,0.549168992516,G1P
11635.TW.BV.001,11635.TW.DZ.001,0.600651746987,0.600651746987,G1P
11635.TW.BV.001,11635.TW.DB.001,0.594184450965,0.594184450965,G1P
11635.TW.BV.001,11635.TW.DQ.001,0.566197155232,0.566197155232,G1P
11635.TW.BV.001,11635.TW.CP.001,0.681096629695,0.681096629695,G1P
11635.TW.BV.001,11635.TW.CC.001,0.558593616248,0.558593616248,G1P
11635.TW.BV.001,11635.TW.DS.002,0.640017048509,0.640017048509,G1P
11635.TW.BV.001,11635.TW.AT.001,0.606141823836,0.606141823836,G1P
11635.TW.BV.001,11635.TW.BM.002,0.551869494421,0.551869494421,G1P
11635.TW.BV.001,11635.TW.DG.001,0.604508316275,0.604508316275,G1P
11635.TW.BV.001,11635.TW.BU.002,0.636630469438,0.636630469438,G1P
11635.TW.BV.001,11635.TW.EE.001,0.608629725019,0.608629725019,G1P
11635.TW.BV.001,11635.TW.AG.002,0.573132090065,0.573132090065,G1P
11635.TW.BV.001,11635.TW.CW.001,0.572036434086,0.572036434086,G1P
11635.TW.BV.001,11635.TW.AN.001,0.592983129246,0.592983129246,G1P
11635.TW.BV.001,11635.TW.CO.001,0.592451522923,0.592451522923,G1P
11635.TW.BV.001,11635.TW.AX.001,0.494871672759,0.494871672759,G1P
11635.TW.BV.001,11635.TW.DX.001,0.580652107584,0.580652107584,G1P
11635.TW.BV.001,11635.TW.AZ.002,0.492156444942,0.492156444942,G1P
11635.TW.BV.001,11635.TW.CA.001,0.551648142657,0.551648142657,G1P
11635.TW.BV.001,11635.TW.BJ.002,0.605765442269,0.605765442269,G1P
11635.TW.BV.001,11635.TW.AP.002,0.585335504791,0.585335504791,G1P
11635.TW.BV.001,11635.TW.DP.002,0.588563709398,0.588563709398,G1P
11635.TW.BV.001,11635.TW.BI.001,0.633745054484,0.633745054484,G1P
11635.TW.BV.001,11635.TW.CB.002,0.577803866692,0.577803866692,G1P
11635.TW.BV.001,11635.TW.AR.001,0.547952109314,0.547952109314,G1P
11635.TW.BV.001,11635.TW.DR.001,0.63334007887,0.63334007887,G1P
11635.TW.BV.001,11635.TW.AY.001,0.506321183039,0.506321183039,G1P
11635.TW.BV.001,11635.TW.BS.002,0.581720675322,0.581720675322,G1P
11635.TW.BV.001,11635.TW.DJ.001,0.596489204555,0.596489204555,G1P
11635.TW.BV.001,11635.TW.BQ.001,0.656972006292,0.656972006292,G1P
11635.TW.BV.001,11635.TW.AO.001,0.640304975144,0.640304975144,G1P
11635.TW.BV.001,11635.TW.BE.002,0.847262363378,0.847262363378,G1P
11635.TW.BV.001,11635.TW.DM.002,0.624548186719,0.624548186719,G1P
11635.TW.BV.001,11635.TW.BG.001,0.528283744916,0.528283744916,G1P
11635.TW.BV.001,11635.TW.CV.001,0.637807661426,0.637807661426,G1P
11635.TW.BV.001,11635.TW.DU.002,0.598459352095,0.598459352095,G1P
11635.TW.BV.001,11635.TW.AW.001,0.589545760266,0.589545760266,G1P
11635.TW.AM.001,11635.TW.AF.001,0.702073074782,0.702073074782,G1P
11635.TW.AM.001,11635.TW.AU.001,0.811041330661,0.811041330661,G1P
11635.TW.AM.001,11635.TW.CT.001,0.718557022806,0.718557022806,G1P
11635.TW.AM.001,11635.TW.BN.001,0.702261071637,0.702261071637,G1P
11635.TW.AM.001,11635.TW.CG.001,0.750171917058,0.750171917058,G1P
11635.TW.AM.001,11635.TW.BZ.002,0.818690532265,0.818690532265,G1P
11635.TW.AM.001,11635.TW.CS.002,0.661670597055,0.661670597055,G1P
11635.TW.AM.001,11635.TW.EH.002,0.614267559466,0.614267559466,G1P
11635.TW.AM.001,11635.TW.BK.001,0.811227985822,0.811227985822,G1P
11635.TW.AM.001,11635.TW.DY.002,0.715977540769,0.715977540769,G1P
11635.TW.AM.001,11635.TW.CZ.001,0.772992316683,0.772992316683,G1P
11635.TW.AM.001,11635.TW.AI.001,0.770032136419,0.770032136419,G1P
11635.TW.AM.001,11635.TW.DZ.001,0.635012576092,0.635012576092,G1P
11635.TW.AM.001,11635.TW.DB.001,0.771571543164,0.771571543164,G1P
11635.TW.AM.001,11635.TW.DQ.001,0.716800902935,0.716800902935,G1P
11635.TW.AM.001,11635.TW.CP.001,0.743094562221,0.743094562221,G1P
11635.TW.AM.001,11635.TW.CC.001,0.747372731678,0.747372731678,G1P
