,level_0,level_1,unweighted_unifrac,groups,housing,related,zygocity
0,11635.TW.BE.001,11635.TW.BE.002,0.893309108195,G1,shared,related,not MZ twins
1,11635.TW.AM.001,11635.TW.AM.002,0.692326502316,G1,not shared,related,MZ twins
2,11635.TW.BG.002,11635.TW.BG.001,0.484585929094,G1,shared,related,not MZ twins
3,11635.TW.AF.001,11635.TW.AF.002,0.479682988948,G1,shared,related,MZ twins
4,11635.TW.DU.001,11635.TW.DU.002,0.581284005446,G1,shared,related,not MZ twins
5,11635.TW.AU.001,11635.TW.AU.002,0.582635792779,G1,not shared,related,not MZ twins
6,11635.TW.CT.001,11635.TW.CT.002,0.774235671638,G1,not shared,related,MZ twins
7,11635.TW.BN.001,11635.TW.BN.002,0.569922559903,G1,shared,related,not MZ twins
8,11635.TW.AW.002,11635.TW.AW.001,0.661318966026,G1,shared,related,not MZ twins
9,11635.TW.AP.001,11635.TW.AP.002,0.60625096882,G1,not shared,related,MZ twins
10,11635.TW.BZ.002,11635.TW.BZ.001,0.620094112441,G1,shared,related,MZ twins
11,11635.TW.DP.001,11635.TW.DP.002,0.43592804663,G1,shared,related,not MZ twins
12,11635.TW.BI.002,11635.TW.BI.001,0.496481481867,G1,shared,related,not MZ twins
13,11635.TW.CB.001,11635.TW.CB.002,0.490476048962,G1,shared,related,not MZ twins
14,11635.TW.BK.001,11635.TW.BK.002,0.551968992146,G1,not shared,related,MZ twins
15,11635.TW.AY.002,11635.TW.AY.001,0.501637481551,G1,shared,related,not MZ twins
16,11635.TW.BS.001,11635.TW.BS.002,0.535047916497,G1,shared,related,not MZ twins
17,11635.TW.BQ.002,11635.TW.BQ.001,0.617576424755,G1,not shared,related,MZ twins
18,11635.TW.AX.002,11635.TW.AX.001,0.674205490796,G1,not shared,related,MZ twins
19,11635.TW.AI.001,11635.TW.AI.002,0.59835649008,G1,not shared,related,MZ twins
20,11635.TW.AZ.001,11635.TW.AZ.002,0.490720657255,G1,shared,related,not MZ twins
21,11635.TW.DZ.001,11635.TW.DZ.002,0.564161118165,G1,not shared,related,MZ twins
22,11635.TW.DB.001,11635.TW.DB.002,0.681824441942,G1,not shared,related,not MZ twins
23,11635.TW.CA.002,11635.TW.CA.001,0.623845715397,G1,shared,related,MZ twins
24,11635.TW.DQ.001,11635.TW.DQ.002,0.66024174054,G1,shared,related,MZ twins
25,11635.TW.BJ.001,11635.TW.BJ.002,0.608272185277,G1,shared,related,not MZ twins
26,11635.TW.CP.001,11635.TW.CP.002,0.624679618571,G1,shared,related,MZ twins
27,11635.TW.CC.001,11635.TW.CC.002,0.591633179314,G1,shared,related,not MZ twins
28,11635.TW.DS.002,11635.TW.DS.001,0.575528797859,G1,not shared,related,not MZ twins
29,11635.TW.AT.001,11635.TW.AT.002,0.766154936373,G1,not shared,related,not MZ twins
30,11635.TW.AG.001,11635.TW.AG.002,0.529113228605,G1,shared,related,MZ twins
31,11635.TW.CW.002,11635.TW.CW.001,0.504041374229,G1,shared,related,not MZ twins
32,11635.TW.BM.002,11635.TW.BM.001,0.537108827983,G1,not shared,related,not MZ twins
33,11635.TW.DG.001,11635.TW.DG.002,0.695355963808,G1,not shared,related,MZ twins
34,11635.TW.AN.002,11635.TW.AN.001,0.654102724176,G1,not shared,related,not MZ twins
35,11635.TW.BU.002,11635.TW.BU.001,0.6302318904,G1,shared,related,not MZ twins
36,11635.TW.EE.001,11635.TW.EE.002,0.525366449249,G1,shared,related,MZ twins
37,11635.TW.CO.002,11635.TW.CO.001,0.600197423424,G1,not shared,related,not MZ twins
38,11635.TW.BT.002,11635.TW.BT.001,0.694200451566,G2,not shared,related,MZ twins
39,11635.TW.CN.002,11635.TW.CN.001,0.568530534901,G2,not shared,related,MZ twins
40,11635.TW.BL.002,11635.TW.BL.001,0.593515170542,G2,not shared,related,MZ twins
41,11635.TW.CE.002,11635.TW.CE.001,0.526100986976,G2,not shared,related,not MZ twins
42,11635.TW.DA.002,11635.TW.DA.001,0.693632134798,G2,not shared,related,not MZ twins
43,11635.TW.CQ.001,11635.TW.CQ.002,0.593409385535,G2,shared,related,MZ twins
44,11635.TW.CK.002,11635.TW.CK.001,0.404160000887,G2,shared,related,MZ twins
45,11635.TW.BA.001,11635.TW.BA.002,0.511694026927,G2,not shared,related,not MZ twins
46,11635.TW.AK.002,11635.TW.AK.001,0.51203463579,G2,shared,related,MZ twins
47,11635.TW.DI.001,11635.TW.DI.002,0.628566078205,G2,not shared,related,not MZ twins
48,11635.TW.AQ.001,11635.TW.AQ.002,0.594302651538,G2,not shared,related,MZ twins
49,11635.TW.CF.001,11635.TW.CF.002,0.505611658326,G2,not shared,related,not MZ twins
50,11635.TW.AV.002,11635.TW.AV.001,0.709221197464,G2,not shared,related,MZ twins
51,11635.TW.BO.001,11635.TW.BO.002,0.482843587628,G2,shared,related,MZ twins
52,11635.TW.BD.001,11635.TW.BD.002,0.677428038599,G2,not shared,related,not MZ twins
53,11635.CIR42.002,11635.CIR42.001,0.738116446504,G3,not shared,related,not MZ twins
54,11635.FS.CIR2.001,11635.CIR2.009,0.762412600193,G3,not shared,related,not MZ twins
55,11635.FS.CIR2.001,11635.FS.CIR2.002,0.684093189746,G3,not shared,related,not MZ twins
56,11635.FS.CIR2.001,11635.CIR2.006,0.801852968516,G3,not shared,related,not MZ twins
57,11635.CIR61.001,11635.CIR61.002,0.878483122188,G3,shared,related,not MZ twins
